"probeID"	"GeneSymbol"
"11715375_x_at"	"CALR"
"11715376_a_at"	"RPS11"
"11715377_x_at"	"COX4I1"
"11715378_x_at"	"TG"
"11715379_a_at"	"LAPTM4B"
"11715380_s_at"	"LAPTM4B"
"11715381_a_at"	"LAPTM4B"
"11715382_x_at"	"PLD3"
"11715383_a_at"	"PHB2"
"11715384_x_at"	"PHB2"
"11715385_s_at"	"C4orf46"
"11715385_s_at"	"TOMM7"
"11715386_at"	"REG1A"
"11715387_at"	"CDKN1A"
"11715388_s_at"	"CDKN1A"
"11715389_x_at"	"FKBP1A"
"11715390_s_at"	"FKBP1A"
"11715391_s_at"	"MTCH1"
"11715392_x_at"	"MTCH1"
"11715393_a_at"	"C3"
"11715394_s_at"	"CD81"
"11715395_a_at"	"BLOC1S5-TXNDC5"
"11715395_a_at"	"TXNDC5"
"11715396_s_at"	"BLOC1S5-TXNDC5"
"11715396_s_at"	"TXNDC5"
"11715397_x_at"	"MAGED2"
"11715398_a_at"	"APEX1"
"11715399_at"	"SLC25A5"
"11715400_x_at"	"SLC25A5"
"11715401_s_at"	"ILF2"
"11715402_x_at"	"ILF2"
"11715403_a_at"	"COL6A1"
"11715404_a_at"	"COL6A1"
"11715405_x_at"	"COL6A1"
"11715406_a_at"	"COL6A1"
"11715407_s_at"	"PSMB4"
"11715408_x_at"	"PSMB4"
"11715409_a_at"	"PRDX2"
"11715410_x_at"	"PRDX2"
"11715411_a_at"	"EPAS1"
"11715412_a_at"	"EPAS1"
"11715413_s_at"	"TSC22D1"
"11715414_x_at"	"COL3A1"
"11715415_a_at"	"COL3A1"
"11715416_s_at"	"DDB1"
"11715417_s_at"	"SKP1"
"11715417_s_at"	"SKP1P2"
"11715418_x_at"	"SKP1"
"11715419_at"	"LY6E"
"11715420_a_at"	"CCT2"
"11715421_a_at"	"CCT2"
"11715422_a_at"	"BCAP31"
"11715423_s_at"	"BCAP31"
"11715424_x_at"	"BCAP31"
"11715425_x_at"	"FLNA"
"11715426_s_at"	"SNU13"
"11715427_at"	"SNU13"
"11715428_x_at"	"ARF4"
"11715429_s_at"	"ARF4"
"11715430_a_at"	"AKR1B1"
"11715431_a_at"	"TMBIM1"
"11715432_a_at"	"TMBIM1"
"11715433_a_at"	"RBBP7"
"11715434_a_at"	"PDIA6"
"11715435_s_at"	"TIMP3"
"11715436_at"	"TIMP3"
"11715437_at"	"TIMP3"
"11715438_at"	"DAP"
"11715439_at"	"DAP"
"11715440_a_at"	"CTGF"
"11715441_a_at"	"CTGF"
"11715442_s_at"	"CTGF"
"11715443_a_at"	"CPB1"
"11715444_at"	"CPB1"
"11715445_a_at"	"DNAJB1"
"11715446_a_at"	"DNAJB1"
"11715447_at"	"TALDO1"
"11715448_at"	"ERGIC3"
"11715449_x_at"	"ERGIC3"
"11715450_at"	"RPL10"
"11715451_a_at"	"COL4A2"
"11715452_s_at"	"COL4A2"
"11715453_a_at"	"COL4A2"
"11715454_at"	"KISS1"
"11715455_x_at"	"KISS1"
"11715456_a_at"	"SSR2"
"11715457_x_at"	"SSR2"
"11715458_a_at"	"COX8A"
"11715459_x_at"	"COX8A"
"11715460_a_at"	"DHCR24"
"11715461_at"	"LYZ"
"11715463_s_at"	"IGFBP4"
"11715464_x_at"	"IGFBP4"
"11715465_at"	"IGFBP4"
"11715466_at"	"ARHGDIB"
"11715467_s_at"	"ARHGDIB"
"11715468_at"	"TUFM"
"11715469_s_at"	"TXN"
"11715470_x_at"	"TXN"
"11715471_a_at"	"SRPR"
"11715472_a_at"	"SRPR"
"11715473_at"	"SRPR"
"11715474_at"	"DDX17"
"11715475_a_at"	"DDX17"
"11715476_s_at"	"DDX17"
"11715477_at"	"TFRC"
"11715478_a_at"	"TFRC"
"11715479_a_at"	"GABARAP"
"11715480_x_at"	"GABARAP"
"11715481_a_at"	"SST"
"11715482_a_at"	"MCL1"
"11715483_s_at"	"MCL1"
"11715484_a_at"	"MCL1"
"11715485_a_at"	"MCL1"
"11715486_x_at"	"MCL1"
"11715487_a_at"	"MCL1"
"11715488_s_at"	"PGRMC1"
"11715489_a_at"	"PGRMC1"
"11715490_s_at"	"AMY1A"
"11715490_s_at"	"AMY1B"
"11715490_s_at"	"AMY1C"
"11715490_s_at"	"AMY2A"
"11715490_s_at"	"AMY2B"
"11715490_s_at"	"AMYP1"
"11715491_s_at"	"FSCN1"
"11715492_s_at"	"MORF4L1"
"11715493_a_at"	"CYR61"
"11715494_s_at"	"HBG1"
"11715494_s_at"	"HBG2"
"11715495_a_at"	"RPS25"
"11715496_a_at"	"CTSK"
"11715497_a_at"	"OXA1L"
"11715498_a_at"	"OXA1L"
"11715499_x_at"	"CBX3"
"11715500_s_at"	"TARDBP"
"11715501_s_at"	"IGFBP7"
"11715502_x_at"	"RPL18A"
"11715503_a_at"	"LASP1"
"11715504_a_at"	"LASP1"
"11715505_a_at"	"IARS"
"11715506_a_at"	"MAGED1"
"11715507_s_at"	"MAGED1"
"11715508_x_at"	"MFGE8"
"11715509_a_at"	"NDFIP1"
"11715510_s_at"	"NDFIP1"
"11715511_x_at"	"NDFIP1"
"11715512_s_at"	"NDFIP1"
"11715513_s_at"	"NDFIP1"
"11715514_a_at"	"HERPUD1"
"11715515_a_at"	"PSMD3"
"11715516_x_at"	"PSMD3"
"11715517_s_at"	"SLC25A39"
"11715518_a_at"	"MLEC"
"11715519_a_at"	"MLEC"
"11715520_at"	"MLEC"
"11715521_a_at"	"MLEC"
"11715522_a_at"	"HADHA"
"11715523_a_at"	"HADHA"
"11715524_a_at"	"COTL1"
