ID	gene_symbol	n
11724342_s_at	LGALS7B	2
11724355_x_at	LOC102724993	7
11724355_x_at	LOC105376752	7
11724355_x_at	NPIP	7
11724355_x_at	NPIPA5	7
11724355_x_at	NPIPA7	7
11724355_x_at	NPIPA8	7
11724355_x_at	PKD1P1	7
11724405_at	KCTD14	2
11724405_at	NDUFC2-KCTD14	2
11724436_a_at	FLJ10038	2
11724436_a_at	GABPB1	2
11724445_s_at	LYZL1	2
11724445_s_at	LYZL2	2
11724493_s_at	FAM71D	2
11724493_s_at	SF3B4	2
11724555_x_at	FOLH1	2
11724555_x_at	FOLH1B	2
11724701_x_at	AS3MT	2
11724701_x_at	BORCS7-ASMT	2
11724759_s_at	CALM1	2
11724759_s_at	CALM2	2
11724768_s_at	FCGR2A	2
11724768_s_at	FCGR2C	2
11724800_a_at	LOC105369247	2
11724800_a_at	QPRT	2
11724901_s_at	IQCJ-SCHIP1	2
11724901_s_at	SCHIP1	2
11724965_at	BLOC1S1-RDH5	2
11724965_at	RDH5	2
11725024_a_at	LOC100129518	2
11725024_a_at	SOD2	2
11725130_s_at	TCEAL3	2
11725130_s_at	TCEAL6	2
11725298_x_at	DXO	2
11725298_x_at	TUBB2B	2
11725394_s_at	LRCH4	2
11725394_s_at	ZASP	2
11725406_a_at	HERC3	2
11725406_a_at	LOC101929134	2
11725459_s_at	S100A7	2
11725459_s_at	S100A7A	2
11725603_a_at	HOXA10-HOXA9	2
11725603_a_at	HOXA9	2
11725732_x_at	NPIPA1	5
11725732_x_at	NPIPA2	5
11725732_x_at	NPIPA3	5
11725732_x_at	NPIPP1	5
11725732_x_at	PKD1P6	5
11725855_s_at	XAGE1B	2
11725855_s_at	XAGE1E	2
11725859_at	APBA1	2
11725859_at	LOC101929802	2
11725890_s_at	ABCC6	4
11725890_s_at	ABCC6P1	4
11725890_s_at	ABCC6P2	4
11725890_s_at	LOC105369239	4
11725891_a_at	ABHD14A-ACY1	2
11725891_a_at	ACY1	2
11726007_s_at	DPY19L2	2
11726007_s_at	DPY19L2P1	2
11726052_s_at	FAM35A	3
11726052_s_at	FAM35BP	3
11726052_s_at	FAM35DP	3
11726100_a_at	LOC102724788	2
11726100_a_at	PRODH	2
11726143_s_at	DAZ1	4
11726143_s_at	DAZ2	4
11726143_s_at	DAZ3	4
11726143_s_at	DAZ4	4
11726177_s_at	LOC105369237	2
11726177_s_at	SPANXB1	2
11726199_x_at	AGAP4	3
11726199_x_at	LOC101060581	3
11726199_x_at	LOC105369258	3
11726212_s_at	CCL15	2
11726212_s_at	CCL15-CCL14	2
11726339_s_at	MAGEA3	2
11726339_s_at	MAGEA6	2
11726342_s_at	DNAJB14	2
11726342_s_at	LOC646358	2
11726369_at	BACH1	2
11726369_at	GRIK1-AS2	2
11726430_at	C11orf52	2
11726430_at	HSPB2-C11orf52	2
11726465_a_at	ADORA3	2
11726465_a_at	TMIGD3	2
11726504_at	ERCC6-PGBD3	2
11726504_at	PGBD3	2
11726551_s_at	RAET1L	2
11726551_s_at	ULBP2	2
11726575_a_at	CYP2A6	2
11726575_a_at	CYP2A7	2
11726647_s_at	BTN3A1	2
11726647_s_at	BTN3A2	2
11726893_a_at	ST7	2
11726893_a_at	ST7-OT3	2
11727001_a_at	CSNK1E	2
11727001_a_at	LOC400927-CSNK1E	2
11727062_at	FIGF	2
11727062_at	PIR-FIGF	2
11727082_a_at	NPEPL1	2
11727082_a_at	STX16-NPEPL1	2
11727097_a_at	NT5C1B-RDH14	2
11727097_a_at	RDH14	2
11727193_s_at	MMP23A	2
11727193_s_at	MMP23B	2
11727197_a_at	PCDHA1	11
11727197_a_at	PCDHA10	11
11727197_a_at	PCDHA11	11
11727197_a_at	PCDHA12	11
11727197_a_at	PCDHA2	11
11727197_a_at	PCDHA3	11
11727197_a_at	PCDHA5	11
11727197_a_at	PCDHA8	11
11727197_a_at	PCDHA9	11
11727197_a_at	PCDHAC1	11
11727197_a_at	PCDHAC2	11
11727256_a_at	ZNF20	2
11727256_a_at	ZNF625-ZNF20	2
11727384_a_at	ATP5J2-PTCD1	2
11727384_a_at	PTCD1	2
11727431_s_at	PCDHB2	2
11727431_s_at	PCDHB3	2
11727507_a_at	GTPBP10	2
11727507_a_at	LOC101927446	2
11727694_a_at	KLRC4-KLRK1	2
11727694_a_at	KLRK1	2
11727802_s_at	GJA9-MYCBP	2
11727802_s_at	MYCBP	2
11727836_a_at	CPZ	2
11727836_a_at	GPR78	2
11727838_a_at	MSTO1	2
11727838_a_at	MSTO2P	2
11727867_a_at	CLEC3B	2
11727867_a_at	EXOSC7	2
11727877_a_at	MIA-RAB4B	2
11727877_a_at	RAB4B	2
11727896_a_at	LSM8	2
11727896_a_at	NAA38	2
11727944_a_at	ARHGAP8	2
11727944_a_at	PRR5-ARHGAP8	2
11728000_a_at	CERS1	2
11728000_a_at	GDF1	2
11728049_s_at	HIST1H4J	2
11728049_s_at	HIST1H4K	2
11728173_at	AMIGO3	2
11728173_at	GMPPB	2
11728367_a_at	AARSD1	2
11728367_a_at	PTGES3L-AARSD1	2
11728393_a_at	BLOC1S5	2
11728393_a_at	EEF1E1-BLOC1S5	2
11728415_s_at	POMZP3	2
11728415_s_at	ZP3	2
11728416_a_at	ELMOD1	2
11728416_a_at	LOC643923	2
11728461_a_at	CARD9	2
11728461_a_at	DNLZ	2
11728481_a_at	ZNF181	2
11728481_a_at	ZNF807	2
11728558_a_at	HSF2BP	2
11728558_a_at	LOC105379490	2
11728583_s_at	RHOXF2	2
11728583_s_at	RHOXF2B	2
11728605_s_at	LIMS1	3
11728605_s_at	LIMS3	3
11728605_s_at	LIMS3L	3
11728636_s_at	DPPA3	2
11728636_s_at	DPPA3P2	2
11728668_x_at	TRIM16	2
11728668_x_at	TRIM16L	2
11728713_at	LOC100996517	4
11728713_at	LOC100996716	4
11728713_at	LOC102724364	4
11728713_at	SEC22B	4
11728761_a_at	LOC100506403	2
11728761_a_at	RUNX1	2
11728792_x_at	EEF2K	2
11728792_x_at	LOC101930123	2
11728888_s_at	SERF1A	2
11728888_s_at	SERF1B	2
11728941_at	CCDC169-SOHLH2	2
11728941_at	SOHLH2	2
11728961_a_at	DISC1	2
11728961_a_at	TSNAX-DISC1	2
11728964_s_at	ZNF585A	2
11728964_s_at	ZNF585B	2
11729075_s_at	LTC4S	2
11729075_s_at	MAML1	2
11729119_a_at	HSPA1A	2
11729119_a_at	HSPA1B	2
11729372_s_at	LRRC37A3	2
11729372_s_at	LRRC37A4P	2
11729374_at	KRT34	2
11729374_at	LOC100653049	2
11729453_s_at	CYP2B6	2
11729453_s_at	CYP2B7P	2
11729721_s_at	LILRA6	7
11729721_s_at	LILRB3	7
11729721_s_at	LOC102725015	7
11729721_s_at	LOC102725029	7
11729721_s_at	LOC102725031	7
11729721_s_at	LOC102725034	7
11729721_s_at	LOC102725035	7
11729732_x_at	FXYD2	3
11729732_x_at	FXYD6	3
11729732_x_at	FXYD6-FXYD2	3
11729749_at	SAA2-SAA4	2
11729749_at	SAA4	2
11729790_a_at	CUZD1	2
11729790_a_at	FAM24B-CUZD1	2
11729979_s_at	PAGE2	2
11729979_s_at	PAGE2B	2
11729997_a_at	CYP21A1P	2
11729997_a_at	CYP21A2	2
11730022_a_at	PILRB	2
11730022_a_at	STAG3L5P-PVRIG2P-PILRB	2
11730090_a_at	TNFSF12-TNFSF13	2
11730090_a_at	TNFSF13	2
11730136_x_at	C2orf27A	2
11730136_x_at	C2orf27B	2
11730137_s_at	NXF2	2
11730137_s_at	NXF2B	2
11730162_s_at	SLC6A10P	2
11730162_s_at	SLC6A10PB	2
11730247_a_at	PVRIG	2
11730247_a_at	STAG3	2
11730325_x_at	DGCR6	2
11730325_x_at	LOC102724770	2
11730326_x_at	LOC105375355	2
11730326_x_at	UPK3B	2
11730535_at	TCAF2	2
11730535_at	TCAF2P1	2
11730553_a_at	TICAM2	2
11730553_a_at	TMED7-TICAM2	2
11730555_a_at	TRIM34	2
11730555_a_at	TRIM6-TRIM34	2
11730600_s_at	AQP7	4
11730600_s_at	AQP7P1	4
11730600_s_at	LOC100509620	4
11730600_s_at	LOC101930168	4
11730702_a_at	LOC729966	2
11730702_a_at	PDE4C	2
11730724_s_at	EIF3C	2
11730724_s_at	EIF3CL	2
11730963_a_at	LOC145783	2
11730963_a_at	ZNF280D	2
11731089_a_at	DDT	2
11731089_a_at	DDTL	2
11731130_at	SPANXC	2
11731130_at	SPANXD	2
11731180_s_at	PCDH11X	2
11731180_s_at	PCDH11Y	2
11731272_a_at	KCNE1	2
11731272_a_at	LOC102723475	2
11731297_x_at	MAGEA2	2
